coordenacao;departamento;grau_academico;grau_academico_2;link_detalhes;modalidade;nome;sede;sigla_departamento;turno
LEA MARIA CARRER IAMASHITA;HIS - DEPTO HISTÓRIA;Licenciatura;Licenciatura;portal.jsf?id=414748&lc=pt_BR&nivel=G;Presencial;HISTÓRIA;BRASÍLIA;HIS;NOTURNO
TIAGO SANTOS ALMEIDA;HIS - DEPTO HISTÓRIA;Bacharelado;Bacharelado;portal.jsf?id=702700&lc=pt_BR&nivel=G;Presencial;HISTÓRIA;BRASÍLIA;HIS;DIURNO
TALITA SOUZA CARMO;ICB - INSTITUTO DE CIÊNCIAS BIOLÓGICAS;Bacharelado;Bacharelado;portal.jsf?id=414371&lc=pt_BR&nivel=G;Presencial;BIOTECNOLOGIA;BRASÍLIA;ICB;DIURNO
;ICB - INSTITUTO DE CIÊNCIAS BIOLÓGICAS;Licenciatura;Licenciatura;portal.jsf?id=414393&lc=pt_BR&nivel=G;A Distância;CIÊNCIAS BIOLÓGICAS;BRASÍLIA;ICB;DIURNO
MARCOS ANTONIO DOS SANTOS SILVA FERRAZ;ICB - INSTITUTO DE CIÊNCIAS BIOLÓGICAS;Bacharelado;Bacharelado;portal.jsf?id=414391&lc=pt_BR&nivel=G;Presencial;CIÊNCIAS BIOLÓGICAS;BRASÍLIA;ICB;DIURNO
JOSE ROBERTO PUJOL LUZ;ICB - INSTITUTO DE CIÊNCIAS BIOLÓGICAS;Licenciatura;Licenciatura;portal.jsf?id=414392&lc=pt_BR&nivel=G;Presencial;CIÊNCIAS BIOLÓGICAS;BRASÍLIA;ICB;NOTURNO
RUTH ELIAS DE PAULA LARANJA;ICH - INSTITUTO DE CIÊNCIAS HUMANAS;Licenciatura;Licenciatura;portal.jsf?id=414687&lc=pt_BR&nivel=G;A Distância;GEOGRAFIA;BRASÍLIA;ICH;DIURNO
PEDRO ERNESTO FREITAS LIMA;IDA1 - INSTITUTO DE ARTES;Licenciatura;Licenciatura;portal.jsf?id=434774&lc=pt_BR&nivel=G;A Distância;ARTES VISUAIS;BRASÍLIA;IDA1;DIURNO
ULIANA DIAS CAMPOS FERLIM;IDA1 - INSTITUTO DE ARTES;Licenciatura;Licenciatura;portal.jsf?id=414430&lc=pt_BR&nivel=G;A Distância;MÚSICA;BRASÍLIA;IDA1;DIURNO
TIAGO ELIAS MUNDIM;IDA1 - INSTITUTO DE ARTES;Licenciatura;Licenciatura;portal.jsf?id=694213&lc=pt_BR&nivel=G;A Distância;TEATRO;BRASÍLIA;IDA1;DIURNO
ALESSANDRA FERREIRA ALBERNAZ;IFD - INSTITUTO DE FÍSICA;Licenciatura;Licenciatura;portal.jsf?id=414664&lc=pt_BR&nivel=G;A Distância;FÍSICA;BRASÍLIA;IFD;DIURNO
KHALIL OLIVEIRA PORTUGAL;IFD - INSTITUTO DE FÍSICA;Bacharelado;Bacharelado;portal.jsf?id=414663&lc=pt_BR&nivel=G;Presencial;FÍSICA;BRASÍLIA;IFD;DIURNO
LETICIA GONCALVES NUNES COELHO;IFD - INSTITUTO DE FÍSICA;Licenciatura;Licenciatura;portal.jsf?id=414657&lc=pt_BR&nivel=G;Presencial;FÍSICA;BRASÍLIA;IFD;NOTURNO
;IFD - INSTITUTO DE FÍSICA;Bacharelado;Bacharelado;portal.jsf?id=414662&lc=pt_BR&nivel=G;Presencial;FÍSICA COMPUTACIONAL;BRASÍLIA;IFD;DIURNO
ANGELO HENRIQUE DE LIRA MACHADO;IGD - INSTITUTO DE GEOCIÊNCIAS;Bacharelado;Bacharelado;portal.jsf?id=414667&lc=pt_BR&nivel=G;Presencial;CIÊNCIAS AMBIENTAIS;BRASÍLIA;IGD;NOTURNO
MONICA GIANNOCCARO VON HUELSEN;IGD - INSTITUTO DE GEOCIÊNCIAS;Bacharelado;Bacharelado;portal.jsf?id=414669&lc=pt_BR&nivel=G;Presencial;GEOFÍSICA;BRASÍLIA;IGD;DIURNO
SUZAN WALESKA PEQUENO RODRIGUES;IGD - INSTITUTO DE GEOCIÊNCIAS;Geólogo;Geólogo;portal.jsf?id=414677&lc=pt_BR&nivel=G;Presencial;GEOLOGIA;BRASÍLIA;IGD;DIURNO
ROBERTA CANTARELA;ILD - INSTITUTO DE LETRAS;Licenciatura;Licenciatura;portal.jsf?id=414772&lc=pt_BR&nivel=G;A Distância;LETRAS - LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA;BRASÍLIA;ILD;DIURNO
MARIA DEL MAR PARAMOS CEBEY;ILD - INSTITUTO DE LETRAS;Bacharelado;Bacharelado;portal.jsf?id=414775&lc=pt_BR&nivel=G;Presencial;LETRAS - TRADUÇÃO - ESPANHOL;BRASÍLIA;ILD;NOTURNO
MARISTELA ROSSATO MARTINS;IPD - INSTITUTO DE PSICOLOGIA;Psicólogo;Psicólogo;portal.jsf?id=414962&lc=pt_BR&nivel=G;Presencial;PSICOLOGIA;BRASÍLIA;IPD;DIURNO
ISABELA MACHADO DA SILVA;IPD - INSTITUTO DE PSICOLOGIA;Bacharelado;Bacharelado;portal.jsf?id=414960&lc=pt_BR&nivel=G;Presencial;PSICOLOGIA;BRASÍLIA;IPD;DIURNO
MARINA KOHLSDORF;IPD - INSTITUTO DE PSICOLOGIA;Licenciatura;Licenciatura;portal.jsf?id=414961&lc=pt_BR&nivel=G;Presencial;PSICOLOGIA;BRASÍLIA;IPD;DIURNO
DENILSON BANDEIRA COELHO;IPOL - INSTITUTO DE CIÊNCIA POLÍTICA;Bacharelado;Bacharelado;portal.jsf?id=414892&lc=pt_BR&nivel=G;Presencial;CIÊNCIA POLÍTICA;BRASÍLIA;IPOL;DIURNO
FABIO MOREIRA DA SILVA;IQD - INSTITUTO DE QUÍMICA;Bacharelado;Bacharelado;portal.jsf?id=414862&lc=pt_BR&nivel=G;Presencial;ENGENHARIA QUÍMICA;BRASÍLIA;IQD;DIURNO
EDUARDO LUIZ DIAS CAVALCANTI;IQD - INSTITUTO DE QUÍMICA;Licenciatura;Licenciatura;portal.jsf?id=414871&lc=pt_BR&nivel=G;Presencial;QUÍMICA;BRASÍLIA;IQD;NOTURNO
ANA CRISTI BASILE DIAS;IQD - INSTITUTO DE QUÍMICA;Bacharelado;Bacharelado;portal.jsf?id=414870&lc=pt_BR&nivel=G;Presencial;QUÍMICA;BRASÍLIA;IQD;DIURNO
GESLEY ALEX VELOSO MARTINS;IQD - INSTITUTO DE QUÍMICA;Bacharelado;Bacharelado;portal.jsf?id=414873&lc=pt_BR&nivel=G;Presencial;QUÍMICA TECNOLÓGICA;BRASÍLIA;IQD;DIURNO
FIDEL IRVING PEREZ FLORES;IREL - INSTITUTO DE RELAÇÕES INTERNACIONAIS;Bacharelado;Bacharelado;portal.jsf?id=414899&lc=pt_BR&nivel=G;Presencial;RELAÇÕES INTERNACIONAIS;BRASÍLIA;IREL;DIURNO
;LET - DEPTO LÍNGUAS ESTRANGEIRAS E TRADUÇÃO;Licenciatura;Licenciatura;portal.jsf?id=414779&lc=pt_BR&nivel=G;Presencial;LETRAS - LÍNGUA E LITERATURA JAPONESA;BRASÍLIA;LET;NOTURNO
ROSILEI JUSTINIANO CARAYANNIS;LET - DEPTO LÍNGUAS ESTRANGEIRAS E TRADUÇÃO;Licenciatura;Licenciatura;portal.jsf?id=414782&lc=pt_BR&nivel=G;Presencial;LETRAS - LÍNGUA ESPANHOLA E LITERATURA ESPANHOLA E HISPANO-AMERICANA;BRASÍLIA;LET;NOTURNO
ANNE LOUISE DIAS;LET - DEPTO LÍNGUAS ESTRANGEIRAS E TRADUÇÃO;Bacharelado;Bacharelado;portal.jsf?id=414795&lc=pt_BR&nivel=G;Presencial;LETRAS - LÍNGUA FRANCESA E RESPECTIVA LITERATURA;BRASÍLIA;LET;DIURNO
MARIA DEL CARMEN DE LA TORRE ARANDA;LET - DEPTO LÍNGUAS ESTRANGEIRAS E TRADUÇÃO;Licenciatura;Licenciatura;portal.jsf?id=414796&lc=pt_BR&nivel=G;Presencial;LETRAS - LÍNGUA FRANCESA E RESPECTIVA LITERATURA;BRASÍLIA;LET;DIURNO
VIRGINIA ANDREA GARRIDO MEIRELLES;LET - DEPTO LÍNGUAS ESTRANGEIRAS E TRADUÇÃO;Licenciatura;Licenciatura;portal.jsf?id=702701&lc=pt_BR&nivel=G;Presencial;LETRAS - LÍNGUA INGLESA E RESPECTIVA LITERATURA;BRASÍLIA;LET;DIURNO
;LET - DEPTO LÍNGUAS ESTRANGEIRAS E TRADUÇÃO;Bacharelado;Bacharelado;portal.jsf?id=414809&lc=pt_BR&nivel=G;Presencial;LETRAS - LÍNGUA INGLESA E RESPECTIVA LITERATURA;BRASÍLIA;LET;DIURNO
ECLAIR ANTONIO ALMEIDA FILHO;LET - DEPTO LÍNGUAS ESTRANGEIRAS E TRADUÇÃO;Bacharelado;Bacharelado;portal.jsf?id=414813&lc=pt_BR&nivel=G;Presencial;LETRAS - TRADUÇÃO - FRANCÊS;BRASÍLIA;LET;DIURNO
NORMA DIANA HAMILTON;LET - DEPTO LÍNGUAS ESTRANGEIRAS E TRADUÇÃO;Bacharelado;Bacharelado;portal.jsf?id=414822&lc=pt_BR&nivel=G;Presencial;LETRAS - TRADUÇÃO - INGLÊS;BRASÍLIA;LET;DIURNO
SUSANA MARTINEZ MARTINEZ;LET - DEPTO LÍNGUAS ESTRANGEIRAS E TRADUÇÃO;Bacharelado;Bacharelado;portal.jsf?id=414823&lc=pt_BR&nivel=G;Presencial;LÍNGUAS ESTRANGEIRAS APLICADAS - MSI;BRASÍLIA;LET;DIURNO
GABRIEL VICTOR ROCHA PINEZI;LIP - DEPTO LINGUISTICA, PORT. LING. CLASSICAS;Bacharelado;Bacharelado;portal.jsf?id=414843&lc=pt_BR&nivel=G;Presencial;LETRAS - LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA;BRASÍLIA;LIP;DIURNO
CINTIA DA SILVA PACHECO;LIP - DEPTO LINGUISTICA, PORT. LING. CLASSICAS;Licenciatura;Licenciatura;portal.jsf?id=414845&lc=pt_BR&nivel=G;Presencial;LETRAS - LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA;BRASÍLIA;LIP;NOTURNO
RONALDO MANGUEIRA LIMA JUNIOR;LIP - DEPTO LINGUISTICA, PORT. LING. CLASSICAS;Licenciatura;Licenciatura;portal.jsf?id=414844&lc=pt_BR&nivel=G;Presencial;LETRAS - LÍNGUA PORTUGUESA E RESPECTIVA LITERATURA;BRASÍLIA;LIP;DIURNO
JANAINA DE AQUINO FERRAZ;LIP - DEPTO LINGUISTICA, PORT. LING. CLASSICAS;Licenciatura;Licenciatura;portal.jsf?id=414848&lc=pt_BR&nivel=G;Presencial;LETRAS - PORTUGUÊS DO BRASIL COMO SEGUNDA LÍNGUA;BRASÍLIA;LIP;DIURNO
GLAUCIO DE CASTRO JUNIOR;LIP - DEPTO LINGUISTICA, PORT. LING. CLASSICAS;Licenciatura;Licenciatura;portal.jsf?id=414849&lc=pt_BR&nivel=G;Presencial;LÍNGUA DE SINAIS BRASILEIRA -PORTUGUÊS COMO SEGUNDA LÍNGUA;BRASÍLIA;LIP;DIURNO
TARCISIO CASTRO SILVA;MAT - DEPARTAMENTO DE MATEMÁTICA;Licenciatura;Licenciatura;portal.jsf?id=414638&lc=pt_BR&nivel=G;Presencial;MATEMÁTICA;BRASÍLIA;MAT;DIURNO
DANIELE DA SILVA BARATELA MARTINS NETO;MAT - DEPARTAMENTO DE MATEMÁTICA;Bacharelado;Bacharelado;portal.jsf?id=414639&lc=pt_BR&nivel=G;Presencial;MATEMÁTICA;BRASÍLIA;MAT;DIURNO
LUIS ROBERTO LUCINGER DE ALMEIDA;MAT - DEPARTAMENTO DE MATEMÁTICA;Licenciatura;Licenciatura;portal.jsf?id=414640&lc=pt_BR&nivel=G;Presencial;MATEMÁTICA;BRASÍLIA;MAT;NOTURNO
;MUS - DEPTO MÚSICA;Licenciatura;Licenciatura;portal.jsf?id=414453&lc=pt_BR&nivel=G;Presencial;EDUCAÇÃO ARTÍSTICA - MÚSICA;BRASÍLIA;MUS;DIURNO
